,tconst,merge_id,release_date,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross
95,tt1536044,2010 Paranormal Activity 2,2010,Horror,5.7,93122,3000000.0,84752907.0,177512032.0
96,tt0814255,2010 Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure,Family,Fantasy",5.9,165108,95000000.0,88768303.0,223050874.0
97,tt0464154,2010 Piranha 3D,2010,"Comedy,Horror",5.4,81327,24000000.0,25003155.0,83660160.0
98,tt0878835,2010 Please Give,2010,"Comedy,Drama",6.6,10652,3000000.0,4033574.0,4570178.0
99,tt1424381,2010 Predators,2010,"Action,Adventure,Sci-Fi",6.4,199764,40000000.0,52000688.0,127234389.0
100,tt0935075,2010 Rabbit Hole,2010,Drama,7.0,45357,5000000.0,2229058.0,6205034.0
101,tt0493949,2010 Ramona and Beezus,2010,"Adventure,Comedy,Family",6.6,16086,15000000.0,26167002.0,27469621.0
102,tt1403981,2010 Remember Me,2010,"Drama,Romance",7.1,129443,16000000.0,19068240.0,56506120.0
103,tt1053424,2010 Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,32000000.0,13942007.0,18195238.0
104,tt1220634,2010 Resident Evil: Afterlife,2010,"Action,Adventure,Horror",5.9,153270,57500000.0,60128566.0,295874190.0
105,tt0955308,2010 Robin Hood,2010,"Action,Adventure,Drama",6.6,239480,210000000.0,105487148.0,322459006.0
106,tt1360826,2010 Rust,2010,Drama,5.6,404,250000.0,0.0,0.0
107,tt0944835,2010 Salt,2010,"Action,Mystery,Thriller",6.4,277204,130000000.0,118311368.0,290650494.0
108,tt1529567,2010 Sea Rex 3D: Journey to a Prehistoric World,2010,Documentary,6.9,364,5000000.0,6096582.0,16515203.0
109,tt1028576,2010 Secretariat,2010,"Biography,Drama,Family",7.2,24536,35000000.0,59699513.0,60376247.0
110,tt1261945,2010 Sex and the City 2,2010,"Comedy,Drama,Romance",4.4,69199,95000000.0,95347692.0,294680778.0
111,tt0815236,2010 She's Out of My League,2010,"Comedy,Romance",6.4,117245,20000000.0,32010860.0,48680977.0
112,tt0892791,2010 Shrek Forever After,2010,"Adventure,Animation,Comedy",6.3,167532,165000000.0,238736787.0,756244673.0
113,tt1130884,2010 Shutter Island,2010,"Mystery,Thriller",8.1,1005960,80000000.0,128012934.0,299461782.0
114,tt1564585,2010 Skyline,2010,"Action,Sci-Fi,Thriller",4.4,83710,10000000.0,21416355.0,68264973.0
115,tt1421051,2010 Somewhere,2010,"Comedy,Drama",6.3,40250,7000000.0,1785645.0,17023121.0
116,tt1303803,2010 Standing Ovation,2010,Musical,3.3,658,5600000.0,531806.0,531806.0
117,tt1193631,2010 Step Up 3D,2010,"Drama,Music,Romance",6.2,53081,30000000.0,42400223.0,165889117.0
118,tt1423995,2010 Stone,2010,"Drama,Thriller",5.4,38667,22000000.0,1810078.0,4065020.0
119,tt1135084,2010 Takers,2010,"Action,Crime,Thriller",6.2,53377,32000000.0,57744720.0,70587268.0
120,tt0398286,2010 Tangled,2010,"Adventure,Animation,Comedy",7.8,366366,260000000.0,200821936.0,586477240.0
121,tt0429493,2010 The A-Team,2010,"Action,Adventure,Thriller",6.8,235256,110000000.0,77222099.0,177241171.0
122,tt1440728,2010 The American,2010,"Crime,Drama,Thriller",6.3,86863,20000000.0,35606376.0,67950723.0
123,tt1212436,2010 The Back-up Plan,2010,"Comedy,Romance",5.4,46128,35000000.0,37490007.0,75281179.0
124,tt1037705,2010 The Book of Eli,2010,"Action,Adventure,Drama",6.9,271307,80000000.0,94835059.0,158750817.0
125,tt1038919,2010 The Bounty Hunter,2010,"Action,Comedy,Romance",5.6,112444,45000000.0,67061228.0,135808837.0
126,tt1640714,2010 The Christmas Bunny,2010,"Drama,Family",6.1,662,250000.0,0.0,0.0
127,tt0980970,2010 The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure,Family,Fantasy",6.3,129663,155000000.0,104386950.0,418186950.0
128,tt0455407,2010 The Crazies,2010,"Horror,Thriller",6.5,104465,19000000.0,39123589.0,56445534.0
129,tt0923653,2010 The Dead Undead,2010,"Action,Horror,Sci-Fi",3.0,791,1100000.0,0.0,0.0
130,tt1320253,2010 The Expendables,2010,"Action,Adventure,Thriller",6.5,307897,82000000.0,103068524.0,268268174.0
131,tt1361313,2010 The Extra Man,2010,Comedy,5.9,4580,7000000.0,453377.0,492108.0
132,tt0964517,2010 The Fighter,2010,"Biography,Drama,Sport",7.8,316539,11000000.0,93617009.0,129262388.0
133,tt1139328,2010 The Ghost Writer,2010,"Drama,Mystery,Thriller",7.2,148274,45000000.0,15541549.0,65532491.0
134,tt1155076,2010 The Karate Kid,2010,"Action,Drama,Family",6.2,146401,40000000.0,176591618.0,351774938.0
135,tt0842926,2010 The Kids Are All Right,2010,"Comedy,Drama,Romance",7.0,120656,4000000.0,20811365.0,36275469.0
136,tt0954947,2010 The Killer Inside Me,2010,"Crime,Drama,Horror",6.1,31727,13000000.0,217277.0,3617277.0
137,tt0938283,2010 The Last Airbender,2010,"Action,Adventure,Family",4.1,137734,150000000.0,131772187.0,319713881.0
138,tt1320244,2010 The Last Exorcism,2010,"Drama,Horror,Thriller",5.6,45815,1800000.0,41034350.0,70165900.0
139,tt1294226,2010 The Last Song,2010,"Drama,Music,Romance",6.0,74914,20000000.0,62950384.0,92678948.0
140,tt0480255,2010 The Losers,2010,"Action,Adventure,Crime",6.4,83876,25000000.0,23591432.0,29863840.0
141,tt1458175,2010 The Next Three Days,2010,"Action,Crime,Drama",7.4,168066,30000000.0,21148651.0,67255916.0
142,tt1041804,2010 The Nutcracker in 3D,2010,"Action,Family,Fantasy",4.3,3119,90000000.0,195459.0,20466016.0
143,tt1386588,2010 The Other Guys,2010,"Action,Comedy,Crime",6.7,221664,100000000.0,119219978.0,170936470.0
144,tt1320291,2010 The Reef,2010,"Adventure,Drama,Horror",5.8,15194,10000000.0,0.0,15037867.0
145,tt1017451,2010 The Runaways,2010,"Biography,Drama,Music",6.6,43792,9500000.0,3573673.0,5278632.0
146,tt1285016,2010 The Social Network,2010,"Biography,Drama",7.7,568578,40000000.0,96962694.0,224922135.0
147,tt0963966,2010 The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,160000000.0,63150991.0,217986320.0
148,tt1273678,2010 The Spy Next Door,2010,"Action,Comedy,Family",5.5,36767,28000000.0,24307106.0,46752858.0
149,tt0889573,2010 The Switch,2010,"Comedy,Drama,Romance",6.1,90661,19000000.0,27758465.0,49858465.0
150,tt1274300,2010 The Tempest,2010,"Comedy,Drama,Fantasy",5.4,7073,20000000.0,277943.0,277943.0
